Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Whole_Toronto_AV
2016,Church-Yonge Corridor,1349,"1,073","1,362","1,780",**,1240
2016,Clairlea-Birchmount,1020,889,948,"1,153",**,1240
2016,Clanton Park,1205,891,"1,112","1,321",**,1240
2016,Clarkson/Lorne Park,1193,894,"1,089","1,243","1,366",1240
2016,Cliffcrest,1101,837,"1,008","1,131","1,363",1240
2016,Cooksville,1152,898,"1,051","1,229","1,241",1240
2016,Crescent Town,1069,796,979,"1,195","1,480",1240
2016,Danforth Village-East York,1037,761,990,"1,147",**,1240
2016,Don Valley Village/Pleasant View,1288,848,"1,123","1,299","1,446",1240
2016,Dorset Park,1005,770,910,"1,044","1,326",1240
2016,Dovercourt/Davenport/Junction,**,**,**,"1,402",**,1240
2016,Downsview,1056,760,944,"1,109","1,269",1240
2016,Dufferin Grove/Little Portugal,1296,866,"1,322","1,651",**,1240
2016,East End-Danforth,1100,892,"1,053","1,194",**,1240
2016,East Gwillimbury/Newmarket,1094,738,"1,069","1,148",**,1240
2016,Edenbridge-Humber Valley,1217,**,"1,044","1,235","1,640",1240
2016,Eglinton East,1087,892,939,"1,108","1,265",1240
2016,Elms-Old Rexdale,1162,**,**,"1,168",**,1240
2016,Englemount-Lawrence,1161,824,"1,001","1,193","1,579",1240
2016,Eringate-Centennial-West Deane,1189,**,**,"1,195",**,1240
2016,Etobicoke West Mall,1286,"1,036","1,076","1,302","1,500",1240
2016,Flemingdon Park,1155,**,"1,014","1,204","1,431",1240
2016,Forest Hill North,1327,913,"1,146","1,461","2,049",1240
2016,Forest Hill South,1253,930,"1,185","1,442",**,1240
2016,Georgina,952,**,805,959,**,1240
2016,Guildwood,**,**,**,**,**,1240
2016,Henry Farm,1396,**,"1,248","1,422","1,615",1240
2016,High Park North/Junction,1465,"1,043","1,367","1,741","2,253",1240
2016,High Park-Swansea,1172,700,"1,130","1,333",**,1240
2016,Humber Heights-Westmount,1301,**,"1,126","1,313","1,482",1240
2016,Humewood-Cedarvale,1386,852,"1,246","1,641",**,1240
2016,Ionview,1069,843,988,"1,131","1,386",1240
2016,Islington/City Centre North,1337,"1,139","1,248","1,407","1,522",1240
2016,Islington/City Centre South,1208,991,**,"1,295",**,1240
2016,Keelesdale-Eglinton West,914,**,892,982,**,1240
2016,Kennedy Park,1031,**,932,"1,095","1,156",1240
2016,Kensington-Chinatown,**,**,**,**,**,1240
